,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
84,影视_影视剧,0.991052101,7165,0.977808793,0.743697256,0.0194369,0.973342638,0.779479155,0.029334851,0.966782973,0.812075029,0.045454573,0.958408932,0.841492556,0.073929399,0.9448709,0.866449095,0.128366321,0.926448011,0.886603446,0.238655195,0.889462666,0.894707286,0.463570982,0.886516085,0.903838102,0.379993525,0.895093296
286,运动_台球桌球,0.992510127,66,0.954545455,0.736842105,0.00212211,0.954545455,0.777777778,0.00270389,0.954545455,0.807692308,0.003584064,0.954545455,0.84,0.003994934,0.939393939,0.867132867,0.006823926,0.909090909,0.882352941,0.054748081,0.909090909,0.909090909,0.237617537,0.9375,0.909090909,0.299993456,0.923076923
22,动植物_狗,0.994726063,2851,0.969133637,0.741148069,0.018735372,0.963521571,0.776317649,0.027217302,0.956155735,0.808302446,0.042089947,0.950543669,0.838490099,0.061851718,0.940371799,0.864559819,0.102214508,0.924587864,0.885752688,0.196441054,0.897229042,0.898647462,0.369671047,0.923613661,0.882146615,0.509998668,0.902404019
100,截图录屏_聊天记录截屏录屏,0.995543671,2111,0.959734723,0.738472754,0.013394752,0.953102795,0.772954284,0.019019006,0.946470867,0.804833837,0.0283479,0.938891521,0.833999579,0.042807315,0.929891047,0.860210342,0.070290498,0.908100426,0.878149336,0.138428226,0.880625296,0.89032567,0.316209972,0.906771344,0.875414495,0.369988756,0.890817064
168,游戏_光遇,0.992584564,186,0.919354839,0.72611465,0.011714487,0.919354839,0.76169265,0.014991198,0.903225806,0.788732394,0.021346394,0.892473118,0.815724816,0.03503643,0.892473118,0.844783715,0.050333492,0.887096774,0.868421053,0.072906591,0.849462366,0.87534626,0.134183422,0.956521739,0.827956989,0.339999959,0.887608069
178,游戏_英雄联盟,0.99202087,298,0.902684564,0.721179625,0.036483336,0.895973154,0.754237288,0.044296592,0.882550336,0.781575037,0.062844045,0.882550336,0.811728395,0.080993213,0.875838926,0.836538462,0.103423364,0.865771812,0.858569052,0.157034263,0.862416107,0.881646655,0.214913577,0.917562724,0.859060403,0.259995258,0.887348354
173,游戏_我的世界,0.993883307,75,0.906666667,0.723404255,0.006713402,0.893333333,0.752808989,0.011560454,0.88,0.781065089,0.017828096,0.88,0.809815951,0.023252716,0.853333333,0.825806452,0.030509084,0.84,0.845637584,0.068805344,0.813333333,0.85915493,0.202071905,0.910447761,0.813333333,0.209864003,0.85915493
2,人物_女性,0.979015586,8277,0.936812855,0.731509434,0.059479028,0.920985864,0.76214757,0.091880091,0.900205388,0.787590508,0.143140107,0.877975112,0.808972504,0.217412114,0.848616649,0.823591487,0.335889399,0.800531594,0.824539572,0.504609346,0.736257098,0.80994152,0.717372775,0.832477378,0.822520237,0.429984961,0.827468854
289,运动_滑雪,0.99974905,16,0.875,0.717948718,0.044549257,0.875,0.756756757,0.113950931,0.875,0.777777778,0.121804081,0.875,0.823529412,0.173931628,0.875,0.848484848,0.317565441,0.875,0.875,0.429316968,0.875,0.903225806,0.48168534,1,0.875,0.586872341,0.933333333
86,影视_日本番剧,0.991272645,557,0.904847397,0.72154617,0.094195843,0.897666068,0.754147813,0.13430956,0.883303411,0.781572677,0.200146303,0.867145422,0.804329725,0.303798795,0.813285458,0.806767587,0.482718289,0.696588869,0.766041461,0.718286872,0.590664273,0.713665944,0.875327468,0.763578275,0.858168761,0.349827725,0.808114962
